tarih,min_trafik_indeksi,max_trafik_indeksi,ort_trafik_indeksi
2016-03-06,1,51,21.09
2016-03-07,1,72,31.66
2016-03-08,2,71,36.29
2016-03-09,4,71,36.44
2016-03-10,4,80,40.02
2016-03-11,6,80,40.62
2016-03-12,2,67,35.85
2016-03-13,1,51,20.19
2016-03-14,6,80,39.15
2016-03-15,6,90,38.47
2016-03-16,2,74,35.47
2016-03-17,4,71,36.23
2016-03-18,4,81,38.96
2016-03-19,4,60,27.81
2016-03-20,1,26,9.06
2016-03-21,1,67,23.77
2016-04-08,58,62,59.43
2016-04-09,31,31,31.0
2016-04-10,38,58,50.36
2016-04-11,2,67,35.98
2016-04-12,2,74,38.76
2016-04-13,4,90,36.8
2016-04-14,2,69,37.87
2016-04-15,2,74,38.42
2016-04-16,2,69,36.5
2016-04-17,1,58,26.56
2016-04-18,1,65,32.09
2016-04-19,2,67,37.11
2016-04-20,4,78,40.02
2016-04-21,8,72,39.31
2016-04-22,4,80,41.9
2016-04-23,1,53,25.85
2016-04-24,1,60,26.66
2016-04-25,2,69,32.49
2016-04-26,2,74,38.57
2016-04-27,2,69,38.85
2016-04-28,2,76,40.19
2016-04-29,2,76,38.31
2016-04-30,4,78,41.41
2016-05-01,1,42,14.04
2016-05-02,1,58,29.58
2016-05-03,4,67,37.23
2016-05-04,4,65,36.73
2016-05-05,1,78,38.8
2016-05-06,4,83,42.25
2016-05-07,2,74,38.79
2016-05-08,1,76,34.14
2016-05-09,1,62,33.4
2016-05-10,2,67,37.49
2016-05-11,2,72,37.04
2016-05-12,2,72,40.48
2016-05-13,2,78,41.36
2016-05-14,2,72,38.93
2016-05-15,1,65,31.2
2016-05-16,1,63,35.03
2016-05-17,4,72,39.3
2016-05-18,2,81,42.05
2016-05-19,1,33,18.78
2016-05-20,1,62,28.7
2016-05-21,1,56,29.27
2016-05-22,1,47,21.6
2016-05-23,1,63,30.01
2016-05-24,4,71,38.64
2016-05-25,4,72,39.39
2016-05-26,6,67,38.21
2016-05-27,2,87,47.35
2016-05-28,2,74,40.17
2016-05-29,1,54,28.91
2016-05-30,2,72,41.52
2016-05-31,2,76,41.12
2016-06-01,4,71,38.89
2016-06-02,4,74,42.16
2016-06-03,2,90,43.95
2016-06-04,2,81,40.35
2016-06-05,1,45,21.07
2016-06-06,1,65,29.28
2016-06-07,1,72,35.74
2016-06-08,1,67,30.71
2016-06-09,1,65,29.96
2016-06-10,1,76,32.68
2016-06-11,1,49,23.24
