NMESAJID,SKAPINUMARASI,SSOFORSICILNO,SMESAJMETNI,DTKAYITZAMANI,NBOYLAM,NENLEM,zaman,kaynak,kume_id
18689167,O2196,640860,BOZUK SATIH,/Date(1784627198070)/,29.2538833333333,40.9072703333333,2026-07-21 09:46:38.069999933,Sistem (İETT),-1
18688538,C-485,810159,BOZUK SATIH,/Date(1784622882856)/,29.0237836666667,41.0081316666667,2026-07-21 08:34:42.855999947,Sistem (İETT),-1
18687924,O3253,316470,BOZUK SATIH,/Date(1784619191927)/,29.3648093333333,40.9211803333333,2026-07-21 07:33:11.927000046,Sistem (İETT),-1
18687267,B-1754,819729,BOZUK SATIH,/Date(1784615180883)/,28.960186,41.0421638333333,2026-07-21 06:26:20.882999897,Sistem (İETT),-1
18685641,B5132,640450,BOZUK SATIH,/Date(1784608346217)/,28.859905,41.0542038333333,2026-07-21 04:32:26.217000008,Sistem (İETT),-1
18685505,B5056,640969,BOZUK SATIH,/Date(1784607809453)/,28.7324466666667,41.0597768333333,2026-07-21 04:23:29.453000069,Sistem (İETT),-1
