hat,saat,yolcu,sefer,yolcu_per_sefer
10,5,38,2,19.0
10,6,1028,14,73.4
10,7,2372,16,148.2
10,8,2293,16,143.3
10,9,1782,13,137.1
10,10,1367,12,113.9
10,11,1382,16,86.4
10,12,1616,15,107.7
10,13,1545,12,128.8
10,14,1642,14,117.3
10,15,1885,14,134.6
10,16,2005,11,182.3
10,17,2215,14,158.2
10,18,1988,11,180.7
10,19,1850,11,168.2
10,20,1132,12,94.3
10,21,902,9,100.2
10,22,723,7,103.3
10,23,247,4,61.8
10A,6,380,6,63.3
10A,7,793,7,113.3
10A,8,876,6,146.0
10A,9,506,5,101.2
10A,10,364,5,72.8
10A,11,381,5,76.2
10A,12,368,4,92.0
10A,13,326,4,81.5
10A,14,386,3,128.7
10A,15,354,4,88.5
10A,16,601,6,100.2
10A,17,716,7,102.3
10A,18,696,6,116.0
10A,19,436,5,87.2
10A,20,236,5,47.2
10A,21,153,5,30.6
10A,22,138,3,46.0
10B,6,51,1,51.0
10B,7,96,1,96.0
10B,8,108,1,108.0
10B,13,117,1,117.0
10B,14,29,1,29.0
10B,15,9,1,9.0
10B,16,10,1,10.0
10B,17,33,1,33.0
10B,19,21,1,21.0
10B,20,14,1,14.0
10B,21,5,1,5.0
10E,6,50,2,25.0
10E,7,337,6,56.2
10E,8,216,3,72.0
10E,9,245,6,40.8
10E,10,231,2,115.5
10E,11,114,3,38.0
10E,12,104,4,26.0
10E,13,93,2,46.5
10E,14,148,2,74.0
10E,15,224,4,56.0
10E,16,138,3,46.0
10E,17,174,3,58.0
10E,18,226,4,56.5
10E,19,210,3,70.0
10E,20,112,3,37.3
10E,21,69,2,34.5
10E,22,34,1,34.0
10EK,6,37,1,37.0
10EK,7,129,3,43.0
10EK,8,102,1,102.0
10EK,9,50,2,25.0
10EK,10,53,2,26.5
10EK,11,35,2,17.5
10EK,12,45,2,22.5
10EK,13,41,2,20.5
10EK,14,59,2,29.5
10EK,15,150,2,75.0
10EK,16,89,2,44.5
10EK,18,109,2,54.5
10EK,19,41,2,20.5
10EK,21,27,2,13.5
10EK,22,8,1,8.0
10G,6,36,1,36.0
10G,7,44,1,44.0
10G,10,2,1,2.0
10G,13,6,1,6.0
10G,15,3,1,3.0
10G,19,3,1,3.0
11,5,143,1,143.0
11,6,334,2,167.0
11,7,503,2,251.5
11,8,292,1,292.0
11,9,282,2,141.0
11,11,100,1,100.0
11,13,130,2,65.0
11,14,166,4,41.5
11,15,301,4,75.2
11,16,169,2,84.5
11,17,384,4,96.0
11,18,322,3,107.3
11,19,293,2,146.5
11,20,202,2,101.0
11A,5,61,2,30.5
11A,6,218,5,43.6
11A,7,418,6,69.7
11A,8,334,3,111.3
11A,9,197,2,98.5
11A,10,67,3,22.3
11A,11,149,2,74.5
11A,12,124,5,24.8
11A,13,109,5,21.8
11A,14,142,6,23.7
11A,15,455,6,75.8
11A,16,423,6,70.5
11A,17,201,4,50.2
11A,18,221,3,73.7
11A,19,106,3,35.3
11BE,6,58,1,58.0
11BE,7,135,2,67.5
11BE,8,181,3,60.3
11BE,9,108,1,108.0
11BE,10,136,1,136.0
11BE,11,40,1,40.0
11BE,12,102,1,102.0
11BE,13,83,1,83.0
11BE,14,112,2,56.0
11BE,15,115,1,115.0
11BE,16,74,2,37.0
11BE,17,134,1,134.0
11BE,18,84,1,84.0
11BE,19,44,1,44.0
11BE,20,56,1,56.0
11BE,21,24,1,24.0
11BE,22,26,1,26.0
11C,6,314,4,78.5
11C,7,544,5,108.8
11C,8,458,3,152.7
11C,9,271,2,135.5
11C,10,196,2,98.0
11C,11,244,1,244.0
11C,12,170,1,170.0
11C,13,147,2,73.5
11C,14,343,3,114.3
11C,15,329,2,164.5
11C,16,327,2,163.5
11C,17,295,2,147.5
11C,18,269,1,269.0
11C,19,167,3,55.7
11C,20,159,3,53.0
11C,21,104,3,34.7
11C,22,103,1,103.0
11CÜ,6,11,1,11.0
11CÜ,7,63,1,63.0
11CÜ,8,40,1,40.0
11CÜ,15,29,1,29.0
11CÜ,17,18,1,18.0
11D,5,31,2,15.5
11D,6,118,2,59.0
11D,7,108,3,36.0
11D,8,96,1,96.0
11D,9,22,2,11.0
11D,11,34,1,34.0
11D,13,49,1,49.0
11D,14,49,2,24.5
11D,15,53,2,26.5
11D,16,24,2,12.0
11D,17,35,1,35.0
11D,18,43,1,43.0
11D,20,29,1,29.0
11E,6,37,1,37.0
11E,7,13,1,13.0
11E,8,83,1,83.0
11ES,6,33,2,16.5
11ES,7,54,1,54.0
11ES,14,15,1,15.0
11G,6,2,1,2.0
11G,7,70,1,70.0
11G,15,62,1,62.0
11G,16,61,1,61.0
11G,17,13,1,13.0
11G,18,34,1,34.0
11H,5,35,3,11.7
11H,6,468,10,46.8
11H,7,1348,11,122.5
11H,8,1455,11,132.3
11H,9,1035,9,115.0
11H,10,886,11,80.5
11H,11,804,8,100.5
11H,12,1043,8,130.4
11H,13,864,9,96.0
11H,14,1106,10,110.6
11H,15,1319,7,188.4
11H,16,1218,10,121.8
11H,17,1060,8,132.5
11H,18,855,7,122.1
11H,19,891,10,89.1
11H,20,576,9,64.0
11H,21,451,9,50.1
11H,22,354,7,50.6
11H,23,101,3,33.7
11K,5,53,2,26.5
11K,6,62,2,31.0
11K,7,115,2,57.5
11K,8,74,2,37.0
11K,14,11,1,11.0
11K,15,78,1,78.0
11K,16,95,1,95.0
11K,17,85,2,42.5
11K,18,92,1,92.0
11L,6,104,3,34.7
11L,7,122,2,61.0
11L,8,114,2,57.0
11L,9,37,1,37.0
11L,10,25,1,25.0
11L,11,36,1,36.0
11L,12,40,1,40.0
11L,13,24,1,24.0
11L,14,17,1,17.0
11L,16,82,2,41.0
11L,17,79,2,39.5
11L,19,121,2,60.5
11L,20,44,2,22.0
11L,21,34,1,34.0
11M,6,66,1,66.0
11M,7,41,2,20.5
11M,10,34,1,34.0
11M,11,19,1,19.0
11M,13,39,1,39.0
11M,14,5,1,5.0
11M,15,32,1,32.0
11M,16,20,1,20.0
11M,17,39,1,39.0
11M,18,16,1,16.0
11M,20,6,1,6.0
11P,5,30,1,30.0
11P,6,121,1,121.0
11P,7,317,3,105.7
11P,8,185,1,185.0
11P,9,66,1,66.0
11P,10,88,1,88.0
11P,11,64,1,64.0
11P,12,64,1,64.0
11P,14,54,2,27.0
11P,17,98,3,32.7
11P,19,112,1,112.0
11P,20,70,1,70.0
11R,6,35,3,11.7
11R,7,26,2,13.0
11R,8,72,3,24.0
11R,17,65,2,32.5
11R,18,19,2,9.5
11SA,5,20,1,20.0
11SA,6,101,2,50.5
11SA,8,140,2,70.0
11SA,9,31,1,31.0
11SA,13,84,2,42.0
11SA,14,59,1,59.0
11SA,15,25,1,25.0
11SA,17,61,2,30.5
11SA,18,39,2,19.5
11SA,20,15,2,7.5
11SA,21,18,1,18.0
11ST,5,12,1,12.0
11ST,6,107,1,107.0
11ST,7,225,3,75.0
11ST,8,262,2,131.0
11ST,9,62,2,31.0
11ST,11,28,1,28.0
11ST,12,56,1,56.0
11ST,13,67,1,67.0
11ST,14,40,2,20.0
11ST,15,147,2,73.5
11ST,16,111,2,55.5
11ST,17,183,2,91.5
11ST,18,180,2,90.0
11ST,20,21,1,21.0
11ST,21,25,1,25.0
11T,5,74,2,37.0
11T,6,213,5,42.6
11T,7,309,3,103.0
11T,8,231,1,231.0
11T,10,55,2,27.5
11T,12,59,2,29.5
11T,13,48,1,48.0
11T,14,136,2,68.0
11T,15,204,3,68.0
11T,16,146,1,146.0
11T,17,170,2,85.0
11T,19,64,1,64.0
11T,20,29,1,29.0
11T,21,49,2,24.5
11T,22,55,1,55.0
11Y,5,77,2,38.5
11Y,6,96,4,24.0
11Y,7,194,4,48.5
11Y,8,259,2,129.5
11Y,9,126,3,42.0
11Y,10,109,2,54.5
11Y,11,122,2,61.0
11Y,12,65,1,65.0
11Y,13,63,2,31.5
11Y,14,249,4,62.2
11Y,15,316,2,158.0
11Y,16,148,3,49.3
11Y,17,253,1,253.0
11Y,18,170,1,170.0
11Y,19,160,2,80.0
11Y,20,116,3,38.7
11Y,21,214,3,71.3
11Y,22,138,3,46.0
11Y,23,17,1,17.0
11ÇB,5,29,1,29.0
11ÇB,6,606,6,101.0
11ÇB,7,1078,7,154.0
11ÇB,8,934,6,155.7
11ÇB,9,501,5,100.2
11ÇB,10,420,5,84.0
11ÇB,11,426,4,106.5
11ÇB,12,473,3,157.7
11ÇB,13,405,4,101.2
11ÇB,14,410,4,102.5
11ÇB,15,513,4,128.2
11ÇB,16,531,4,132.8
11ÇB,17,611,4,152.8
11ÇB,18,661,2,330.5
11ÇB,19,485,6,80.8
11ÇB,20,244,3,81.3
11ÇB,21,137,2,68.5
11ÇB,22,111,3,37.0
11Ü,5,29,1,29.0
11Ü,6,128,4,32.0
11Ü,7,376,5,75.2
11Ü,8,238,4,59.5
11Ü,9,159,4,39.8
11Ü,10,145,3,48.3
11Ü,11,183,3,61.0
11Ü,12,145,3,48.3
11Ü,13,120,2,60.0
11Ü,14,119,4,29.8
11Ü,15,304,4,76.0
11Ü,16,239,4,59.8
11Ü,17,238,4,59.5
11Ü,18,166,1,166.0
11Ü,19,38,2,19.0
11Ü,20,109,2,54.5
11Ü,21,45,1,45.0
11Ü,22,46,1,46.0
11ÜS,0,469,4,117.2
11ÜS,1,233,3,77.7
11ÜS,2,80,2,40.0
11ÜS,3,44,2,22.0
11ÜS,4,52,2,26.0
11ÜS,5,404,6,67.3
11ÜS,6,1282,19,67.5
11ÜS,7,2198,14,157.0
11ÜS,8,1936,11,176.0
11ÜS,9,1702,12,141.8
11ÜS,10,1260,10,126.0
11ÜS,11,1209,10,120.9
11ÜS,12,1234,9,137.1
11ÜS,13,1731,9,192.3
11ÜS,14,1219,8,152.4
11ÜS,15,1223,12,101.9
11ÜS,16,1609,12,134.1
11ÜS,17,1580,12,131.7
11ÜS,18,1560,10,156.0
11ÜS,19,1611,10,161.1
11ÜS,20,1201,9,133.4
11ÜS,21,847,7,121.0
11ÜS,22,946,9,105.1
11ÜS,23,602,6,100.3
12,6,97,3,32.3
12,7,411,5,82.2
12,8,633,6,105.5
12,9,539,5,107.8
12,10,526,5,105.2
12,11,531,5,106.2
12,12,572,5,114.4
12,13,576,5,115.2
12,14,600,5,120.0
12,15,570,5,114.0
12,16,670,5,134.0
12,17,631,5,126.2
12,18,550,6,91.7
12,19,448,5,89.6
12,20,235,2,117.5
12,21,172,2,86.0
12,22,30,1,30.0
121A,5,37,1,37.0
121A,6,327,7,46.7
121A,7,706,7,100.9
121A,8,663,7,94.7
121A,9,571,6,95.2
121A,10,534,6,89.0
121A,11,536,5,107.2
121A,12,544,7,77.7
121A,13,583,7,83.3
121A,14,554,7,79.1
121A,15,580,5,116.0
121A,16,606,5,121.2
121A,17,476,7,68.0
121A,18,504,5,100.8
121A,19,507,5,101.4
121A,20,480,6,80.0
121A,21,397,4,99.2
121A,22,284,4,71.0
121A,23,200,3,66.7
121B,5,39,1,39.0
121B,6,278,5,55.6
121B,7,568,8,71.0
121B,8,275,3,91.7
121B,9,358,3,119.3
121B,10,276,4,69.0
121B,11,291,3,97.0
121B,12,270,2,135.0
121B,13,305,3,101.7
121B,14,171,3,57.0
121B,15,350,3,116.7
121B,16,216,2,108.0
121B,17,326,3,108.7
121B,18,160,1,160.0
121B,19,108,1,108.0
121B,20,128,3,42.7
121BS,6,394,4,98.5
121BS,7,541,4,135.2
121BS,8,578,3,192.7
121BS,9,264,1,264.0
121BS,10,355,3,118.3
121BS,11,308,3,102.7
121BS,12,388,2,194.0
121BS,13,257,1,257.0
121BS,14,278,2,139.0
121BS,15,354,2,177.0
121BS,16,431,4,107.8
121BS,17,262,1,262.0
121BS,18,326,2,163.0
121BS,19,302,2,151.0
121BS,20,166,2,83.0
121BS,21,181,4,45.2
121BS,22,147,2,73.5
122C,5,23,2,11.5
122C,6,305,4,76.2
122C,7,388,5,77.6
122C,8,467,4,116.8
122C,9,412,3,137.3
122C,10,339,3,113.0
122C,11,305,2,152.5
122C,12,425,3,141.7
122C,13,347,4,86.8
122C,14,333,2,166.5
122C,15,242,2,121.0
122C,16,206,3,68.7
122C,17,168,2,84.0
122C,18,250,3,83.3
122C,19,183,1,183.0
122C,20,164,2,82.0
122C,21,110,3,36.7
122C,22,85,2,42.5
122C,23,30,1,30.0
122D,5,126,1,126.0
122D,6,289,4,72.2
122D,7,316,3,105.3
122D,8,230,1,230.0
122D,9,160,1,160.0
122D,10,137,2,68.5
122D,11,38,1,38.0
122D,12,129,3,43.0
122D,13,128,2,64.0
122D,15,90,1,90.0
122D,16,60,2,30.0
122D,18,92,2,46.0
122D,19,67,1,67.0
122D,20,25,1,25.0
122D,21,98,1,98.0
122D,22,101,1,101.0
122H,5,34,1,34.0
122H,7,40,1,40.0
122H,16,24,1,24.0
122M,5,55,1,55.0
122M,6,181,3,60.3
122M,7,108,3,36.0
122M,8,85,1,85.0
122M,10,82,1,82.0
122M,11,114,1,114.0
122M,12,109,1,109.0
122M,13,65,2,32.5
122M,14,86,2,43.0
122M,15,193,4,48.2
122M,16,143,2,71.5
122M,17,79,2,39.5
122M,18,84,1,84.0
122M,19,95,3,31.7
122M,21,36,1,36.0
122V,5,35,1,35.0
122V,7,124,2,62.0
122V,9,62,2,31.0
122V,11,16,1,16.0
122V,12,31,1,31.0
122V,14,17,1,17.0
122V,16,44,1,44.0
122V,18,7,1,7.0
122V,20,20,1,20.0
122V,21,35,1,35.0
122Y,6,63,2,31.5
122Y,7,136,2,68.0
122Y,9,64,2,32.0
122Y,15,39,1,39.0
122Y,16,65,1,65.0
122Y,17,14,1,14.0
122Y,18,73,1,73.0
122ÇK,7,35,2,17.5
122ÇK,8,35,2,17.5
122ÇK,16,26,1,26.0
122ÇK,17,38,1,38.0
122ÇK,19,14,2,7.0
122ÇK,20,37,2,18.5
122ÇK,21,4,1,4.0
129L,6,58,2,29.0
129L,7,1,1,1.0
129L,17,15,1,15.0
129T,0,21,1,21.0
129T,5,108,2,54.0
129T,6,186,4,46.5
129T,7,184,2,92.0
129T,8,123,2,61.5
129T,9,148,2,74.0
129T,10,138,2,69.0
129T,11,140,2,70.0
129T,12,119,2,59.5
129T,13,96,1,96.0
129T,14,258,2,129.0
129T,15,143,1,143.0
129T,16,190,2,95.0
129T,17,288,1,288.0
129T,18,259,2,129.5
129T,19,192,1,192.0
129T,20,122,1,122.0
129T,21,109,1,109.0
129T,22,37,1,37.0
129T,23,49,2,24.5
12A,0,119,6,19.8
12A,5,31,1,31.0
12A,6,165,10,16.5
12A,7,901,14,64.4
12A,8,1229,15,81.9
12A,9,1116,15,74.4
12A,10,1115,15,74.3
12A,11,1069,16,66.8
12A,12,1232,16,77.0
12A,13,1187,15,79.1
12A,14,1212,13,93.2
12A,15,1180,11,107.3
12A,16,1005,10,100.5
12A,17,917,10,91.7
12A,18,1050,12,87.5
12A,19,893,13,68.7
12A,20,839,13,64.5
12A,21,675,11,61.4
12A,22,507,11,46.1
12A,23,449,8,56.1
12C,6,40,2,20.0
12C,7,185,2,92.5
12C,8,112,1,112.0
12C,9,93,1,93.0
12C,10,88,1,88.0
12C,12,87,1,87.0
12C,13,56,1,56.0
12C,14,135,2,67.5
12C,15,143,1,143.0
12C,16,71,1,71.0
12C,17,106,1,106.0
12C,18,97,1,97.0
12C,19,43,1,43.0
12C,20,46,1,46.0
13,0,94,2,47.0
13,5,151,2,75.5
13,6,673,12,56.1
13,7,1435,15,95.7
13,8,1599,9,177.7
13,9,1264,8,158.0
13,10,1028,11,93.5
13,11,1064,9,118.2
13,12,1318,9,146.4
13,13,1335,11,121.4
13,14,1146,10,114.6
13,15,1409,9,156.6
13,16,1370,9,152.2
13,17,1286,8,160.8
13,18,1328,10,132.8
13,19,1252,10,125.2
13,20,848,8,106.0
13,21,772,10,77.2
13,22,966,11,87.8
13,23,459,5,91.8
130A,1,129,2,64.5
130A,2,91,2,45.5
130A,3,37,2,18.5
130A,5,93,1,93.0
130A,7,160,2,80.0
130A,9,36,2,18.0
130A,11,44,2,22.0
130A,13,62,2,31.0
130A,15,23,1,23.0
130A,16,126,1,126.0
130A,18,89,1,89.0
130A,19,68,1,68.0
130A,20,79,1,79.0
130A,21,88,1,88.0
130A,22,44,1,44.0
130A,23,54,1,54.0
130E,6,199,3,66.3
130E,7,291,4,72.8
130E,8,487,1,487.0
130E,9,140,3,46.7
130E,10,183,1,183.0
130E,11,115,1,115.0
130E,12,112,2,56.0
130E,14,94,3,31.3
130E,15,90,2,45.0
130E,16,240,2,120.0
130E,17,250,2,125.0
130E,18,144,1,144.0
130E,19,43,1,43.0
130E,20,59,2,29.5
130E,21,21,1,21.0
130H,5,4,1,4.0
130H,7,52,1,52.0
130H,11,53,1,53.0
130H,13,29,1,29.0
130H,14,38,1,38.0
130H,16,73,2,36.5
130H,18,31,2,15.5
130H,20,30,1,30.0
130T,6,12,1,12.0
130T,7,75,2,37.5
130T,8,99,1,99.0
130T,9,22,1,22.0
130T,15,59,1,59.0
130T,17,70,1,70.0
130T,18,18,1,18.0
130T,19,35,1,35.0
131,0,29,1,29.0
131,5,66,2,33.0
131,6,331,7,47.3
131,7,517,6,86.2
131,8,545,7,77.9
131,9,423,5,84.6
131,10,257,4,64.2
131,11,309,3,103.0
131,12,427,4,106.8
131,13,466,6,77.7
131,14,405,3,135.0
131,15,312,4,78.0
131,16,449,5,89.8
131,17,421,2,210.5
131,18,215,5,43.0
131,19,378,3,126.0
131,20,233,2,116.5
131,21,118,1,118.0
131,22,75,2,37.5
131,23,69,1,69.0
131A,6,141,3,47.0
131A,7,115,2,57.5
131A,8,143,1,143.0
131A,10,18,1,18.0
131A,11,18,1,18.0
131A,14,61,2,30.5
131A,15,76,2,38.0
131A,16,88,1,88.0
131A,17,129,1,129.0
131A,18,121,1,121.0
131A,20,8,1,8.0
131A,22,77,1,77.0
131B,5,9,2,4.5
131B,6,142,1,142.0
131B,7,238,2,119.0
131B,8,107,1,107.0
131B,9,89,2,44.5
131B,11,23,1,23.0
131B,14,32,1,32.0
131B,15,79,1,79.0
131B,16,242,2,121.0
131B,17,86,1,86.0
131B,18,65,2,32.5
131B,20,11,1,11.0
131H,5,36,1,36.0
131H,6,6,1,6.0
131H,7,202,2,101.0
131H,8,233,2,116.5
131H,9,121,2,60.5
131H,10,38,2,19.0
131H,11,29,1,29.0
131H,12,65,1,65.0
131H,13,50,2,25.0
131H,14,109,2,54.5
131H,15,80,1,80.0
131H,16,163,2,81.5
131H,18,59,2,29.5
131H,20,34,1,34.0
131H,21,50,1,50.0
131H,22,17,1,17.0
131K,6,3,1,3.0
131K,7,126,3,42.0
131K,8,73,1,73.0
131K,9,30,1,30.0
131K,15,35,1,35.0
131K,16,101,1,101.0
131K,17,77,1,77.0
131SB,6,33,2,16.5
131SB,7,231,4,57.8
131SB,8,277,3,92.3
131SB,9,92,1,92.0
131SB,10,64,2,32.0
131SB,11,78,2,39.0
131SB,12,64,1,64.0
131SB,13,120,2,60.0
131SB,14,109,2,54.5
131SB,15,173,1,173.0
131SB,16,157,2,78.5
131SB,17,112,2,56.0
131SB,18,90,1,90.0
131SB,19,106,2,53.0
131SB,20,70,2,35.0
131T,4,13,2,6.5
131T,5,173,8,21.6
131T,6,885,14,63.2
131T,7,1718,12,143.2
131T,8,1752,10,175.2
131T,9,1154,11,104.9
131T,10,948,11,86.2
131T,11,964,8,120.5
131T,12,1297,12,108.1
131T,13,1347,7,192.4
131T,14,1105,12,92.1
131T,15,1248,9,138.7
131T,16,1674,12,139.5
131T,17,1586,7,226.6
131T,18,1693,9,188.1
131T,19,1332,8,166.5
131T,20,1023,9,113.7
131T,21,843,8,105.4
131T,22,636,5,127.2
131T,23,197,2,98.5
131V,5,32,1,32.0
131V,6,154,6,25.7
131V,7,441,4,110.2
131V,8,452,1,452.0
131V,9,256,4,64.0
131V,10,146,1,146.0
131V,11,248,4,62.0
131V,12,313,2,156.5
131V,13,296,2,148.0
131V,14,360,5,72.0
131V,15,403,4,100.8
131V,16,516,3,172.0
131V,17,487,3,162.3
131V,18,505,4,126.2
131V,19,332,3,110.7
131V,20,231,3,77.0
131V,21,102,2,51.0
131V,22,97,1,97.0
131Y,5,53,1,53.0
131Y,6,468,8,58.5
131Y,7,1218,9,135.3
131Y,8,860,5,172.0
131Y,9,545,6,90.8
131Y,10,508,5,101.6
131Y,11,643,5,128.6
131Y,12,603,4,150.8
131Y,13,503,4,125.8
131Y,14,427,6,71.2
131Y,15,518,4,129.5
131Y,16,620,5,124.0
131Y,17,655,3,218.3
131Y,18,588,6,98.0
131Y,19,523,4,130.8
131Y,20,433,6,72.2
131Y,21,284,3,94.7
131Y,22,127,2,63.5
131YS,4,1,1,1.0
131YS,5,211,6,35.2
131YS,6,1022,14,73.0
131YS,7,2003,14,143.1
131YS,8,1946,11,176.9
131YS,9,1169,13,89.9
131YS,10,888,9,98.7
131YS,11,990,10,99.0
131YS,12,1129,9,125.4
131YS,13,1150,9,127.8
131YS,14,962,7,137.4
131YS,15,1150,10,115.0
131YS,16,1253,7,179.0
131YS,17,1250,7,178.6
131YS,18,1378,9,153.1
131YS,19,1028,8,128.5
131YS,20,723,8,90.4
131YS,21,522,4,130.5
131YS,22,381,3,127.0
131Ü,5,37,1,37.0
131Ü,6,175,3,58.3
131Ü,7,314,3,104.7
131Ü,8,159,1,159.0
131Ü,9,94,3,31.3
131Ü,10,69,1,69.0
131Ü,12,15,1,15.0
131Ü,14,66,1,66.0
131Ü,15,98,2,49.0
131Ü,16,209,3,69.7
131Ü,17,172,1,172.0
131Ü,18,140,2,70.0
131Ü,19,245,1,245.0
131Ü,20,72,1,72.0
132,5,39,1,39.0
132,6,126,4,31.5
132,7,473,4,118.2
132,8,476,4,119.0
132,9,315,5,63.0
132,10,157,2,78.5
132,11,53,2,26.5
132,12,68,1,68.0
132,13,36,1,36.0
132,14,104,2,52.0
132,15,124,2,62.0
132,16,309,4,77.2
132,17,247,3,82.3
132,18,323,4,80.8
132,19,116,2,58.0
132,20,84,3,28.0
132,21,19,2,9.5
132A,5,5,1,5.0
132A,6,59,4,14.8
132A,7,262,4,65.5
132A,8,246,4,61.5
132A,9,157,3,52.3
132A,10,71,3,23.7
132A,11,24,1,24.0
132A,12,57,1,57.0
132A,14,60,2,30.0
132A,15,73,2,36.5
132A,16,153,3,51.0
132A,17,201,2,100.5
132A,18,119,4,29.8
132A,19,210,4,52.5
132A,20,114,2,57.0
132A,21,42,2,21.0
132A,22,24,1,24.0
132B,7,77,1,77.0
132B,9,39,1,39.0
132B,15,29,1,29.0
132B,17,20,1,20.0
132C,5,66,3,22.0
132C,6,372,7,53.1
132C,7,876,7,125.1
132C,8,1163,8,145.4
132C,9,770,8,96.2
132C,10,637,7,91.0
132C,11,687,6,114.5
132C,12,703,7,100.4
132C,13,766,5,153.2
132C,14,854,6,142.3
132C,15,857,6,142.8
132C,16,1071,6,178.5
132C,17,906,6,151.0
132C,18,1122,6,187.0
132C,19,760,5,152.0
132C,20,517,5,103.4
132C,21,427,4,106.8
132C,22,289,3,96.3
132C,23,64,1,64.0
132D,6,62,2,31.0
132D,7,64,1,64.0
132D,8,107,1,107.0
132D,9,25,1,25.0
132D,10,84,1,84.0
132D,11,79,2,39.5
132D,13,80,2,40.0
132D,15,86,2,43.0
132D,16,56,2,28.0
132D,18,39,2,19.5
132D,20,27,1,27.0
132D,21,26,1,26.0
132E,6,16,1,16.0
132E,7,49,1,49.0
132E,8,19,1,19.0
132E,10,49,1,49.0
132E,13,65,1,65.0
132E,14,57,1,57.0
132E,16,120,1,120.0
132E,17,18,1,18.0
132E,19,49,1,49.0
132F,6,154,3,51.3
132F,7,192,3,64.0
132F,8,321,3,107.0
132F,9,109,3,36.3
132F,10,70,1,70.0
132F,11,31,1,31.0
132F,12,96,2,48.0
132F,13,92,2,46.0
132F,14,104,1,104.0
132F,15,84,2,42.0
132F,16,274,3,91.3
132F,17,181,3,60.3
132F,18,229,3,76.3
132F,19,139,3,46.3
132F,20,80,3,26.7
132F,21,60,2,30.0
132F,22,21,1,21.0
132G,6,3,1,3.0
132G,7,54,2,27.0
132G,8,44,1,44.0
132G,9,10,2,5.0
132G,15,23,1,23.0
132G,16,15,2,7.5
132G,17,17,1,17.0
132G,18,32,1,32.0
132H,6,55,1,55.0
132H,7,46,1,46.0
132H,8,88,1,88.0
132H,9,29,1,29.0
132H,10,14,1,14.0
132H,11,35,1,35.0
132H,13,50,1,50.0
132H,14,38,1,38.0
132H,15,89,1,89.0
132H,16,80,1,80.0
132H,18,55,1,55.0
132H,19,67,1,67.0
132H,20,34,1,34.0
132H,21,27,1,27.0
132H,22,25,1,25.0
132K,6,95,3,31.7
132K,7,322,4,80.5
132K,8,386,3,128.7
132K,9,270,2,135.0
132K,10,149,4,37.2
132K,11,209,4,52.2
132K,12,306,4,76.5
132K,13,304,4,76.0
132K,14,374,4,93.5
132K,15,332,3,110.7
132K,16,286,3,95.3
132K,17,250,4,62.5
132K,18,211,4,52.8
132K,19,243,4,60.8
132K,20,220,4,55.0
132K,21,224,6,37.3
132K,22,232,3,77.3
132K,23,52,2,26.0
132M,4,1,1,1.0
132M,5,203,7,29.0
132M,6,1050,16,65.6
132M,7,2189,22,99.5
132M,8,2322,14,165.9
132M,9,1441,9,160.1
132M,10,1255,12,104.6
132M,11,1309,12,109.1
132M,12,1383,10,138.3
132M,13,1562,10,156.2
132M,14,1318,10,131.8
132M,15,1873,15,124.9
132M,16,2109,12,175.8
132M,17,1881,15,125.4
132M,18,1848,13,142.2
132M,19,1702,10,170.2
132M,20,1179,9,131.0
132M,21,811,9,90.1
132M,22,639,5,127.8
132M,23,215,2,107.5
132N,5,26,1,26.0
132N,6,62,1,62.0
132N,7,42,1,42.0
132N,16,97,1,97.0
132N,17,53,1,53.0
132P,5,42,3,14.0
132P,6,411,8,51.4
132P,7,1412,9,156.9
132P,8,1779,9,197.7
132P,9,1031,5,206.2
132P,10,801,6,133.5
132P,11,747,6,124.5
132P,12,828,5,165.6
132P,13,1017,7,145.3
132P,14,1027,6,171.2
132P,15,1452,9,161.3
132P,16,1520,8,190.0
132P,17,1135,7,162.1
132P,18,1381,9,153.4
132P,19,1151,7,164.4
132P,20,704,7,100.6
132P,21,574,5,114.8
132P,22,431,4,107.8
132P,23,176,1,176.0
132S,5,183,5,36.6
132S,6,837,12,69.8
132S,7,1624,13,124.9
132S,8,1615,8,201.9
132S,9,915,5,183.0
132S,10,565,7,80.7
132S,11,698,5,139.6
132S,12,864,6,144.0
132S,13,909,5,181.8
132S,14,813,9,90.3
132S,15,986,11,89.6
132S,16,1544,10,154.4
132S,17,1120,6,186.7
132S,18,989,6,164.8
132S,19,708,6,118.0
132S,20,643,8,80.4
132S,21,468,7,66.9
132S,22,286,5,57.2
132S,23,125,2,62.5
132SB,6,85,3,28.3
132SB,7,177,2,88.5
132SB,8,195,1,195.0
132SB,9,74,1,74.0
132SB,11,39,1,39.0
132SB,14,33,2,16.5
132SB,15,97,1,97.0
132SB,16,165,1,165.0
132SB,17,98,1,98.0
132SB,18,123,1,123.0
132SB,19,146,1,146.0
132SB,20,77,1,77.0
132T,6,116,5,23.2
132T,7,295,4,73.8
132T,8,186,3,62.0
132T,9,103,4,25.8
132T,10,61,3,20.3
132T,11,32,2,16.0
132T,12,24,2,12.0
132T,13,28,2,14.0
132T,14,48,3,16.0
132T,15,83,2,41.5
132T,16,164,2,82.0
132T,17,174,3,58.0
132T,18,190,3,63.3
132T,20,73,2,36.5
132T,21,18,1,18.0
132T,22,7,1,7.0
132V,5,73,3,24.3
132V,6,601,13,46.2
132V,7,1625,19,85.5
132V,8,1586,14,113.3
132V,9,1053,10,105.3
132V,10,1000,10,100.0
132V,11,1019,8,127.4
