hat_kodu,SHATADI,HAT_UZUNLUGU,SEFER_SURESI,oran_haziran,sefer_haziran,yolcu_haziran,oran_aralik,sefer_aralik,yolcu_aralik,ortalama_oran,ortalama_sefer,ortalama_yolcu,ortalama_yolcu_sefer,verimlilik_tier,kok_kod,supheli_kod_eslesmesi,hat_tipi_kume,hat_tipi_ad
78E,FENERTEPE PERON/BAŞAKŞEHİR - KAYABAŞI KİPTAŞ,30.46115,154.65,1.707285460686063,1531,79621,1.392570080080108,1877,79621,1.5499277703830856,1704.0,79621.0,46.72593896713615,orta_ust,78,False,3,uzun_kirsal
78F,FENERTEPE - BAŞAKŞEHİR - METROKENT,38.81849,197.88,1.4555926466721818,1663,93966,1.1722278796202608,2065,93966,1.3139102631462212,1864.0,93966.0,50.41094420600859,orta_ust,78,False,3,uzun_kirsal
78G,FENERTEPE PERON/BAŞAKŞEHİR - KAYAŞEHİR,31.73085,150.21,1.3704220367451891,945,41093,1.203576974650747,1076,41093,1.2869995056979682,1010.5,41093.0,40.66600692726373,orta_alt,78,False,3,uzun_kirsal
78H,FENERTEPE PERON/BAŞAKŞEHİR - EMİNÖNÜ,36.10162,160.57,1.1953289105732543,287,12385,1.0364332245756014,331,12385,1.1158810675744275,309.0,12385.0,40.080906148867314,orta_alt,78,False,3,uzun_kirsal
78K,FENERTEPE PERON/BAŞAKŞEHIR-K.S.S. HASTANESİ,25.76189,127.61,0.0288721694290505,363,270,0.0274361191171343,382,270,0.0281541442730924,372.5,270.0,0.7248322147651006,alt_ceyrek,78,False,2,tali_kucuk
78ZB,FENERTEPE PERON/BAŞAKŞEHİR - ZEYTİNBURNU,37.72862,186.77,2.6112426344001207,592,58323,2.972799306855522,520,58323,2.7920209706278216,556.0,58323.0,104.89748201438849,ust_ceyrek,78,False,3,uzun_kirsal
79B,KAYAŞEHİR - BAKIRKÖY,38.28063,179.44,2.4036833454693025,1447,133145,2.2629341580312823,1537,133145,2.3333087517502924,1492.0,133145.0,89.2392761394102,ust_ceyrek,79,False,3,uzun_kirsal
79C,KAYAŞEHİR - CEBECİ MAHALLESİ,26.60684,131.62,1.1523544834199164,704,21585,0.9692443922671696,837,21585,1.060799437843543,770.5,21585.0,28.01427644386762,orta_alt,79,False,3,uzun_kirsal
79E,KAYABAŞI KİPTAŞ / KAYAŞEHİR - EMİNÖNÜ,42.26289,194.95,1.753831242171474,1902,140980,1.6571222168952524,2013,140980,1.705476729533363,1957.5,140980.0,72.02043422733078,ust_ceyrek,79,False,3,uzun_kirsal
79F,KAYAŞEHİR - YENİBOSNA METRO,37.05988,190.98,1.7145290410556877,1081,68687,1.453651681083293,1275,68687,1.5840903610694903,1178.0,68687.0,58.3081494057725,orta_ust,79,False,3,uzun_kirsal
